ID,Date,Currency type, Amount ,Debit/Credit,Account,Transaction description,Amount in dkk,Month(str)
18094,24/11/2017,DK," 5,470     ",credit,Cash Account,Glasses & belts restock & shoes," 5,470     ", November 
18095,28/11/2017,DK," 5,470     ",debit,Inventory Account,Glasses & belts restock & shoes," 5,470     ", November 
18096,28/11/2017,DK," 5,470     ",credit,Account receivable,Glasses & belts restock & shoes," 5,470     ", November 
18097,06/12/2017,DK," 8,760     ",debit,Cash Account,Costumes sold," 8,760     ", December 
18098,06/12/2017,DK," 8,760     ",credit,Sales Account,Costumes sold," 8,760     ", December 
18099,06/12/2017,DK," 2,628     ",debit,COGS Account,Costumes sold," 2,628     ", December 
18100,06/12/2017,DK," 2,628     ",credit,Inventory Account,Costumes sold," 2,628     ", December 
18101,12/12/2017,DK," 2,413     ",debit,Account receivable,Makeup restock," 2,413     ", December 
18102,12/12/2017,DK," 2,413     ",credit,Cash Account,Makeup restock," 2,413     ", December 
18103,18/12/2017,DK," 2,413     ",debit,Inventory Account,Makeup restock," 2,413     ", December 
18104,18/12/2017,DK," 2,413     ",credit,Account receivable,Makeup restock," 2,413     ", December 
18105,21/12/2017,DK," 8,755     ",debit,Cash Account,Costumes sold," 8,755     ", December 
18106,21/12/2017,DK," 8,755     ",credit,Sales Account,Costumes sold," 8,755     ", December 
18107,21/12/2017,DK," 2,627     ",debit,COGS Account,Costumes sold," 2,627     ", December 
18108,21/12/2017,DK," 2,627     ",credit,Inventory Account,Costumes sold," 2,627     ", December 
